candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Dilipkumar Virajibhai Thakor,http://myneta.info/gujarat2012/candidate.php?candidate_id=1520,CHANASMA,BJP,1,10th Pass,47321283,602600,46718683,17,GEN,PATAN,NORTH GUJARAT,false,true,false,Male,,,,,,
Panchal Ranjitbhai Dahyabhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=532,JALALPORE,INC,0,8th Pass,246786333,15209725,231576608,174,GEN,NAVSARI,SOUTH GUJARAT,true,true,false,Male,,,,,,
Vikramsinh  Jatubha Parmar,http://myneta.info/gujarat2012/candidate.php?candidate_id=2186,VEJALPUR,VISHVA HINDUSTANI SANGATHAN,2,Graduate,4451941,0,4451941,42,GEN,AHMEDABAD,NORTH GUJARAT,true,true,true,Male,,,,,,
Aacharya Dr.Nimaben Bhavesbhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=1506,BHUJ,BJP,1,Post Graduate,346463236,18922966,327540270,3,GEN,KACHCHH,KACHCHH,true,true,true,Female,http://myneta.info/gujarat2012/index.php?action=affidavitComparison&myneta_folder2=2007Gujarat&id1=1506&id2=35,346463236,23722359,322740877,1360%,PAN is Different
Aadambhai Abdulbhai Patel,http://myneta.info/gujarat2012/candidate.php?candidate_id=2345,AKOTA,IND,0,10th Pass,42675000,30000,42645000,143,GEN,SURAT,SOUTH GUJARAT,false,false,false,Male,,,,,,
Aarab Salim Umarbhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=1844,BHUJ,IND,0,8th Pass,57269,0,57269,3,GEN,KACHCHH,KACHCHH,false,false,false,Male,,,,,,
Aashifbhai Alarakhbhai Shekh,http://myneta.info/gujarat2012/candidate.php?candidate_id=483,BOTAD,IND,0,10th Pass,212000,0,212000,107,GEN,DAHOD,SAURASHTRA,false,false,false,Male,,,,,,
Abbasbhai Ibrahimbhai Noyda,http://myneta.info/gujarat2012/candidate.php?candidate_id=122,JAMJODHPUR,IND,0,8th Pass,400000,0,400000,80,GEN,AMRELI,SAURASHTRA,false,true,false,Male,,,,,,
Abhani Mathurdas Vrajalal,http://myneta.info/gujarat2012/candidate.php?candidate_id=1495,SOMNATH,IND,0,5th Pass,1362000,0,1362000,90,GEN,BOTAD,SAURASHTRA,false,true,false,Male,,,,,,
Abubakar Rahimbhai Jangad,http://myneta.info/gujarat2012/candidate.php?candidate_id=18,BOTAD,IND,0,Literate,512000,0,512000,107,GEN,DAHOD,SAURASHTRA,false,true,false,Male,,,,,,
Advocate Purva Pradip Gajare,http://myneta.info/gujarat2012/candidate.php?candidate_id=1101,PARDI,IND,0,Post Graduate,1021000,180000,841000,180,GEN,VALSAD,SOUTH GUJARAT,true,true,false,Female,,,,,,
Aghara Ghanshyambhai Kanjibhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=605,WADHWAN,BSP,0,Literate,11000,0,11000,62,GEN,JAMNAGAR,AHMEDABAD RURAL,false,true,false,Male,,,,,,
Ahir Hardas Karshan Khava,http://myneta.info/gujarat2012/candidate.php?candidate_id=1428,JAMJODHPUR,INC,0,8th Pass,41364201,8555365,32808836,80,GEN,AMRELI,SAURASHTRA,true,true,false,Male,,,,,,
Ahir Vasanbhai Gopalbhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=1507,ANJAR,BJP,0,5th Pass,24216626,200000,24016626,4,GEN,KACHCHH,KACHCHH,true,true,false,Male,http://myneta.info/gujarat2012/index.php?action=affidavitComparison&myneta_folder2=2007Gujarat&id1=1507&id2=23,24216626,4632530,19584096,423%,PAN was missing last time
Ajamery Sulemanbhai Hasanbhai,http://myneta.info/gujarat2012/candidate.php?candidate_id=898,GARIADHAR,IND,0,5th Pass,436000,0,436000,101,GEN,KHEDA,SAURASHTRA,false,false,false,Male,,,,,,
