candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Akbar Al,http://myneta.info/assam2011/candidate.php?candidate_id=815,BILASIPARA WEST,IND,0,8th Pass,240000,0,240000,26,GEN,BILASIPARA,LOWER ASSAM,false,false,false,Male,,,,,,
Bipin Barman,http://myneta.info/assam2011/candidate.php?candidate_id=818,BILASIPARA EAST,CPI,0,Graduate,538722,92639,446083,27,GEN,BILASIPARA,LOWER ASSAM,false,false,false,Male,,,,,,
Entaz Al,http://myneta.info/assam2011/candidate.php?candidate_id=816,BILASIPARA WEST,IND,0,8th Pass,618145,0,618145,26,GEN,BILASIPARA,LOWER ASSAM,true,true,false,Male,,,,,,
Manirur Zama,http://myneta.info/assam2011/candidate.php?candidate_id=824,BILASIPARA EAST,IND,0,Graduate,4076000,0,4076000,27,GEN,BILASIPARA,LOWER ASSAM,false,false,false,Male,,,,,,
Mohet Hoja,http://myneta.info/assam2011/candidate.php?candidate_id=474,HALFLONG,Autonomous State Demand Committee,2,Graduate,478830,0,478830,16,ST,N. C. HILLS,HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG),false,true,true,Male,,,,,,
Nural Islam Sk,http://myneta.info/assam2011/candidate.php?candidate_id=807,GAURIPUR,IND,0,Graduate,1004860,0,1004860,24,GEN,DHUBRI,LOWER ASSAM,false,false,false,Male,,,,,,
Ranjan Saha,http://myneta.info/assam2011/candidate.php?candidate_id=808,GAURIPUR,IND,0,12th Pass,8013,0,8013,24,GEN,DHUBRI,LOWER ASSAM,true,true,false,Male,,,,,,
Zabed Islam,http://myneta.info/assam2011/candidate.php?candidate_id=797,MANKACHAR,IND,0,Graduate,5674538,1022677,4651861,21,GEN,SOUTH SALMARA,LOWER ASSAM,true,true,false,Male,,,,,,
Zahirul Hoque,http://myneta.info/assam2011/candidate.php?candidate_id=804,GAURIPUR,AITC,0,Graduate,1047026,219280,827746,24,GEN,DHUBRI,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Awal Bhuyan,http://myneta.info/assam2011/candidate.php?candidate_id=1029,NOWGONG,AITC,0,Graduate,1133260,0,1133260,86,GEN,NAGAON,CENTRAL ASSAM,true,true,false,Male,,,,,,
Abdul Aziz,http://myneta.info/assam2011/candidate.php?candidate_id=1027,RUPAHIHAT,IND,1,Graduate,2085023,0,2085023,85,GEN,NAGAON,CENTRAL ASSAM,true,true,true,Male,http://myneta.info/assam2011/index.php?action=affidavitComparison&myneta_folder2=assam2006&id1=1027&id2=189,2085023,1567320,517703,33%,PAN was missing last time Party in last election was AGP
Abdul Hai Nagori,http://myneta.info/assam2011/candidate.php?candidate_id=559,ABHAYAPURI NORTH,INC,0,Graduate Professional,7621366,0,7621366,34,GEN,NORTH SALMARA,LOWER ASSAM,true,true,false,Male,http://myneta.info/assam2011/index.php?action=affidavitComparison&myneta_folder2=assam2006&id1=559&id2=21,7621366,763024,6858342,899%,PAN was missing last time
Abdul Hamid,http://myneta.info/assam2011/candidate.php?candidate_id=853,JALESWAR,SUCI(C),0,Graduate,6000,0,6000,39,GEN,GOALPARA,LOWER ASSAM,false,false,false,Male,,,,,,
Abdul Hamid,http://myneta.info/assam2011/candidate.php?candidate_id=409,KARIMGANJ SOUTH,IND,0,10th Pass,25000,0,25000,4,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Hamid,http://myneta.info/assam2011/candidate.php?candidate_id=822,BILASIPARA EAST,IND,0,Graduate,4291362,758490,3532872,27,GEN,BILASIPARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Jalil Barbhuiya,http://myneta.info/assam2011/candidate.php?candidate_id=1085,BARKHOLA,IND,0,12th Pass,565000,0,565000,14,GEN,SILCHAR,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Jalil Laskar,http://myneta.info/assam2011/candidate.php?candidate_id=443,ALGAPUR,IND,0,10th Pass,25000,0,25000,8,GEN,HAILAKANDI,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Kaddus,http://myneta.info/assam2011/candidate.php?candidate_id=755,BARPETA,BPF,1,10th Pass,122000,0,122000,43,GEN,BARPETA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdul Karim,http://myneta.info/assam2011/candidate.php?candidate_id=1052,HOJAI,All India Minorities Front,0,12th Pass,254000,0,254000,91,GEN,HOJAI,CENTRAL ASSAM,false,false,false,Male,,,,,,
Abdul Karim Bhuyan,http://myneta.info/assam2011/candidate.php?candidate_id=592,JANIA,CPI(M),0,Post Graduate,882260,0,882260,44,GEN,BARPETA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdul Kayem,http://myneta.info/assam2011/candidate.php?candidate_id=588,BARPETA,INC,1,Graduate Professional,2576050,0,2576050,43,GEN,BARPETA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Khaleque,http://myneta.info/assam2011/candidate.php?candidate_id=593,JANIA,INC,0,Post Graduate,1526955,370675,1156280,44,GEN,BARPETA,LOWER ASSAM,true,true,false,Male,http://myneta.info/assam2011/index.php?action=affidavitComparison&myneta_folder2=assam2006&id1=593&id2=9,1526955,1038031,488924,47%,
Abdul Kuddus,http://myneta.info/assam2011/candidate.php?candidate_id=865,CHENGA,IND,0,10th Pass,3368087,0,3368087,47,GEN,BARPETA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Kuddush,http://myneta.info/assam2011/candidate.php?candidate_id=698,DALGAON,AGP,0,Graduate Professional,2430000,0,2430000,68,GEN,MANGALDOI,NORTH ASSAM,true,true,false,Male,,,,,,
Abdul Latif Mondal,http://myneta.info/assam2011/candidate.php?candidate_id=560,ABHAYAPURI NORTH,AIUDF,0,Post Graduate,821852,0,821852,34,GEN,NORTH SALMARA,LOWER ASSAM,false,true,false,Male,,,,,,
Abdul Malek Dhali,http://myneta.info/assam2011/candidate.php?candidate_id=544,BARHAMPUR,AIUDF,0,12th Pass,20445,0,20445,87,GEN,NAGAON,CENTRAL ASSAM,false,true,false,Male,,,,,,
Abdul Malik,http://myneta.info/assam2011/candidate.php?candidate_id=411,KARIMGANJ SOUTH,IND,1,8th Pass,20000,0,20000,4,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Mannan,http://myneta.info/assam2011/candidate.php?candidate_id=398,KARIMGANJ SOUTH,IND,0,8th Pass,20900,0,20900,4,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),false,false,false,Male,,,,,,
Abdul Mannan,http://myneta.info/assam2011/candidate.php?candidate_id=794,MANKACHAR,NCP,0,Graduate,113000,0,113000,21,GEN,SOUTH SALMARA,LOWER ASSAM,false,false,false,Male,,,,,,
Abdul Muhib Mazumder,http://myneta.info/assam2011/candidate.php?candidate_id=427,HAILAKANDI,INC,0,Post Graduate,26929767,120177,26809590,6,GEN,HAILAKANDI,SOUTHERN ASSAM (BARAK VALLEY),true,true,false,Male,,,,,,
Abdul Muqtadir Choudhury,http://myneta.info/assam2011/candidate.php?candidate_id=14,KARIMGANJ NORTH,AIUDF,0,Post Graduate,6515221,0,6515221,3,GEN,KARIMGANJ,SOUTHERN ASSAM (BARAK VALLEY),true,true,false,Male,,,,,,
Abdul Rajek,http://myneta.info/assam2011/candidate.php?candidate_id=342,BISWANATH,IND,0,Not Given,611856,0,611856,76,GEN,BISWANATH CHARIALI,NORTH ASSAM,true,true,false,Male,,,,,,
Abdul Salam Shah,http://myneta.info/assam2011/candidate.php?candidate_id=475,MANKACHAR,AGP,0,10th Pass,2735000,0,2735000,21,GEN,SOUTH SALMARA,LOWER ASSAM,true,true,false,Male,,,,,,
Abdul Salim,http://myneta.info/assam2011/candidate.php?candidate_id=584,SORBHOG,AIUDF,1,8th Pass,1512482,0,1512482,40,GEN,BARPETA,LOWER ASSAM,false,true,true,Male,,,,,,
